contact,material_recovery_facility,rail_access,year,icon,notes,website,email,fax,phone,cartodb_id,operating_hours,pickup,number_of_employees,materials_accepted,materials_category,recycler_type,permit_number,company_name,county,address,longitude,latitude
Michael Attipa,,FALSE,2015,Processor,,www.telecycle.com,michael@telecycle.com,678-545-1846,404-768-2435,227,8-5 M-F,Yes,30-50,"Computer equpiment, televisions, ferrous metal, non-ferrous metal",Electronics,"Collector, Processor",,"TeleCycle, LLC",Clayton,,-84.456255,33.622609
Jim Adams,,FALSE,2015,Processor,Caters to industrial generators of recyclables; can spot trailers for large quantities. Commerical accounts only. Does not accept from the general public.,,adamsco@bellsouth.net,,770-271-9694,228,8:30-4:30 M-F,Yes,3,"Metals, ferrous metals, non-ferrous metals, steel cans, metal appliances, cardboard, paper, office paper, newspaper, magazines, mixed paper, phonebooks, lithographs, negative and x-ray film,  aluminum printing plates",Single-stream,Collector,,The Adams Company,Gwinnett,,-84.061486,34.067198
Stewart Levy,,FALSE,2015,Processor,"Full-service plastic, scrap, and textile recycler and broker, purchasing and processing post-industrial, post-consumer, and post-commerical waste streams. Grind, sort, separate, reprocess, bale, warehouse, and perform recycling audits. ",www.tkopolymers.com,info@tkopolymers.com,404-691-8585,404-691-8567,231,8-5 M-F,Yes,11,"Plastics, film, fibers, OCC, paper, e-scrap",Single-stream,"Collector, Processor, Broker",,TKO Polymers,Fulton,,-84.524911,33.769236
Nico Berlin,,TRUE,2015,Processor,Offers pick up for large volumes only.,www.jarrellstopdollarrecycling.net,jarrellstopdollarrecycling@gmail.com,912-232-8057,912-232-8882,232,"7-4:30 M-F, 8-11 Sa",Yes,35,"Metals, metal appliances, autos, non-ferrous metals, aluminum cans, brass, copper, batteries, computer boards",Metal,"Collector, Processor",,Top Dollar Recycling (formerly Savannah Recycling LLC),Chatham,,-81.145638,32.076244
Jason Hamilton,,TRUE,2015,Processor,Restrictions may apply to the acceptance of autos and appliances. Pick up available for large volumes only. Call for details.,www.tmrecycling.com,,229-242-4459,229-242-7832,233,8-5 M-F,Yes,,"Ferrous and non-ferrous metals: aluminum (aluminum cans, aluminum siding/gutters/downspouts, aluminum patio furniture , aluminum wheels, aluminum wire), auto batteries, brass (fixtures, lamps, decorative items), cable, fence and wire, copper (copper and brass plumbing pipes, valves, connections, tubing, wire), electric motors (ceiling fans, old drills and saws), insulated wire (Christmas lights, extension cords), radiators, screen doors and window frames, stainless steel (kitchen sinks), TV cable, appliances (stoves, refrigerators, washers, dryers, dishwashers, air conditioners), automobiles, cast iron patio furniture, cast iron outdoor railing, farm machinery, lawn mowers, sheet metal, steel (wheels)",Metal,"Collector, Processor, Broker",,"Trademark Metals & Recycling (formerly Rice Iron & Metal, Inc.)",Lowndes,,-83.3042,30.8178
Richard Tullis,,FALSE,2015,Processor,Restrictions may apply to acceptance of appliances and autos. Certification of Freon removal required. Call for details.,,tullismetalsinc@att.net,770-945-7826,770-945-7826,234,"8:30-5 M-F, 8:30-noon Sa",No,5,"Ferrous metals, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,Collector,,Tullis Metals,Gwinnett,,-84.0078775,34.1013881
,TRUE,,2015,Processor,,,,,706-556-1007,235,,,,,Single-stream,,036-018P(MRF),"Tutt Contracting, Inc. ",Columbia,,-82.277622,33.429317
Jim McGeehan,,,2015,Processor,,www.utilityeserv.com,jm@utilityeserv.com,770-291-0427,770-674-1170,236,,,,Plastic #1-7,Plastic,"Collector, Broker",,"UES, LLC",DeKalb,,-84.331811,33.948467
,,FALSE,2015,Processor,Collects motor oil and used petroleum products.  Call for details.,,,478-329-1119,478-923-8003,237,8-5 M-F,Yes,1,Motor oil,Other,Collector,,Unique Environmental Services,Houston,,-83.593583,32.583916
Parker Pruett,,FALSE,2015,Processor,Handles primarily post-industrial scrap plastics and baled PET bottles ,www.unitedplasticrecycling.com,ppruett@bellsouth.net,404-351-5611,404-351-5033,238,8-5 M-F,No,1,"PET, PVC, HDPE, TPO-painted, BOPP, film plastic, LLDPE film, PP, HDPE-FM, PS",Plastic,Broker,,"United Plastic Recycling, Inc.",Fulton,,-84.411706,33.813936
,,FALSE,2015,Processor,Processes motor oil and other oil products into boiler fuel.,www.universalenvironmentalservices.com,,770-357-0202,770-486-8816,239,8-5 M-F,Yes,1,"Motor oil, anti-freeze, used oil filters",Other,Collector,,Universal Enviro Services,Decatur,,-84.593608,30.9070865
John Redman,,TRUE,2015,Processor,Processes motor oil and other oil products into boiler fuel.,www.universalenvironmentalservices.com,,770-357-0202,770-486-8816,240,8-5 M-F,Yes,75,"Motor oil, anti-freeze, used oil filters",Other,"Collector, Processor",,Universal Enviro Services,Fayette,,-84.575433,33.371803
,,FALSE,2015,Processor,Roll-off container service for metal pickups.,www.us1recycling.com,,478-252-7000,478-783-1633,242,8-5 M-F,Yes,,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals",Metal,"Collector, Processor",,US 1 Recycling,Bibb,,-83.638588,32.692181
,,FALSE,2015,Processor,Roll-off container service for metal pickups.,www.us1recycling.com,,478-252-7000,478-252-1398,243,8-5 M-F,Yes,,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals",Metal,"Collector, Processor",,US 1 Recycling,Jefferson,,-82.4008203,32.8917947
,,FALSE,2015,Processor,Roll-off container service for metal pickups.,www.us1recycling.com,,478-252-7000,478-923-3600,244,8-5 M-F,Yes,,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals",Metal,"Collector, Processor",,US 1 Recycling,Houston,,-83.6097209,32.647276
,,FALSE,2015,Processor,Roll-off container service for metal pickups.,www.us1recycling.com,,478-252-7000,706-465-2033,245,8-5 M-F,Yes,,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals",Metal,"Collector, Processor",,US 1 Recycling,Warren,,-82.6774173,33.3980219
Albert Williams,,FALSE,2015,Processor,Not a drop-off facility. All pick up services are fee-based. ,www.veoliaes.com,,404-363-9440,404-361-6181,246,8-5 M-F,Yes,15,"Paints, resins, solvents, alkaline batteries, all universal waste (acids/bases)",Other,"Collector, Processor, Broker",,Veolia Environmental Services Technical Solutions,Clayton,,-84.322331,33.608997
Chris Champion,,FALSE,2015,Processor,Pick up available for large loads only. Accepts only rechargeable lead-acid batteries. ,www.voltex.com,c_champion@bellsouth.net,770-246-0565,770-448-6021,247,9-5 M-F,Yes,16,Lead-acid batteries,Other,"Collector, Processor",,Voltex Batteries,Gwinnett,,-84.1888976,33.9574189
,TRUE,,2015,Processor,,,,,,248,,,,,Single-stream,,060-091P(MRF),Waste Management Gateway MRF,Fulton,,-84.5954,33.70884
,,TRUE,2015,Processor,,,todd@waycrossrecycling.com,912-285-2268,912-285-2267,249,7:30-4 M-F,Yes,,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,Collector,,Waycross Recyclers,Ware,,-82.372537,31.2217372
Wally Hall,TRUE,,2015,Processor,,,,,,250,,,,,Single-stream,,060-090P(RM),Welcome All Transfer Station MRF,Fulton,,-84.5263,33.77925
,,FALSE,2015,Processor,Charity car donation program. Donation is 100% tax deductible and there are no towing or pick-up fees.,www.georgia.wheelsforwishes.org,,770-916-0222,855-871-9474,251,9-5 M-F,Yes,,"Cars, boats, and RVs",Other,Collector,,Wheels for Wishes,Cobb,,-84.479944,33.910223
Rashi Hafiz,,FALSE,2015,Processor,Recycles scrap metals generated from manufacturing processes or obsolete inventories. Accepts scrap material from the general public.,www.widenationrecycling.com,,770-935-0160,770-935-9433,253,8-5 M-F,Yes,8,"Ferrous and non-ferrous metal - aluminum, copper, stainless steel, brass, cables, scrap iron, re-bar and machinery",Metal,"Collector, Processor, Broker",,"Widenation Recycling, LLC",Gwinnett,,-84.1117625,33.8879299
,TRUE,,2015,Processor,,,,,,254,,,,,Single-stream,Processor,060-089D(C&D),Willow Oak C&D Landfill,Fulton,,-84.62850556,33.53929722
,,TRUE,2015,Processor,Drop-off location only.,www.worldrecycling.net,,770-532-8565,770-532-8050,255,"8:30-4:30 M-F, 8-1 Sa",No,5,Ferrous and non-ferrous metals,Metal,"Collector, Processor",,"World Recycling, Inc.",Hall,,-83.784492,34.276024
